doc_id,company,doctype,title,publish_date,url,final_url,source_domain,section,topic,persona_tags,language,word_count,token_count,ingestion_ts,hash_sha256
crm::10-K::2025-03-05::fy25-form-10-k::4c26cea2,Salesforce,10-K,crm-20250131,2025-03-05,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000006/crm-20250131.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000006/crm-20250131.htm,sec.gov,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|Compliance|GenAI|Industry Solutions|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,64311,87337,2025-09-08T00:13:15.999807+00:00,40f6855ee66156620a3b58747027f8c114db28508bc77826868328f3f374ce84
crm::10-Q::2025-04-30::fy26-q1-form-10-q::e16f2866,Salesforce,10-Q,crm-20250430,2025-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000030/crm-20250430.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000030/crm-20250430.htm,www.sec.gov,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Security|Compliance|GenAI|Industry Solutions|Platform|AI,"cio,vp_customer_experience,vp_sales_ops",en,44574,59871,2025-09-08T00:13:16.379677+00:00,383e15cf72d49f309f1424dd08796079657c405eb961f33946d0a68d6cdf7bcf
crm::8-K::2025-05-28::q1-fy26-results-8-k::35792ff4,Salesforce,8-K,crm-20250528,2025-05-28,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000027/crm-20250528.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000027/crm-20250528.htm,sec.gov,body,Earnings|Executive|Industry Solutions,,en,588,873,2025-09-08T00:13:16.128579+00:00,2f9a9a4e0e3684283bf1eca2da6970855d517bb6c65faf6bc5bfea60e5b8f80d
crm::8-K::2025-06-05::proxy-meeting-results-2025-06-05::47c09586,Salesforce,8-K,crm-20250605,2025-06-05,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000033/crm-20250605.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000033/crm-20250605.htm,sec.gov,body,Earnings|Executive|Security|Industry Solutions,cio,en,957,1489,2025-09-08T00:13:16.259410+00:00,e82b3a8e8cb857ad3d7b52108673b36dcc169a682c5db703aec79d0c0ed2a0d4
crm::ars_pdf::unknown::fy25-annual-report-pdf::1b31e86f,Salesforce,ars_pdf,Fy25 Annual Report Pdf,2025-09-07,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000019/salesforce_fy25annualreport.pdf,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000019/salesforce_fy25annualreport.pdf,sec.gov,body,Agentforce|Data Cloud|Earnings|Partnership|Executive|Platform|AI,"cio,vp_sales_ops",en,370740,710719,2025-09-08T00:13:40.432413+00:00,24cdc160c21ecc11cc4ee454bc68db64e800d9e94389405bb7ce88d9f6f2e1dd
crm::dev_docs::unknown::agent-api-developer-guide::6f4b900c,Salesforce,dev_docs,Chat with Agents Using Agent API | Agentforce Agents | Agentforce Developer Guide | Salesforce Developers,2025-09-07,https://developer.salesforce.com/docs/einstein/genai/guide/agent-api.html,https://developer.salesforce.com/docs/einstein/genai/guide/agent-api.html,developer.salesforce.com,body,Agentforce|Agent API|GenAI|Platform|AI,cio,en,162,197,2025-09-08T00:13:16.316013+00:00,85ec5fc6b300aad63fc0ae844641d0ec3ba00f387b0fd5c83e827f12f0a29040
crm::dev_docs::unknown::agent-api-examples::62fd6b36,Salesforce,dev_docs,Examples | Agentforce Agents | Agentforce Developer Guide | Salesforce Developers,2025-09-07,https://developer.salesforce.com/docs/einstein/genai/guide/agent-api-examples.html,https://developer.salesforce.com/docs/einstein/genai/guide/agent-api-examples.html,developer.salesforce.com,body,Agentforce|Agent API|Data Cloud|GenAI|Platform|AI,,en,925,1135,2025-09-08T00:13:16.379741+00:00,887f759f8f244f7871c6ab090aa6bbbf0eba125450097ab5757ca9897c05a4b1
crm::dev_docs::unknown::get-started-with-agentforce-agents::5ac08bad,Salesforce,dev_docs,Agentforce Agents | Agentforce Developer Guide | Salesforce Developers,2025-09-07,https://developer.salesforce.com/docs/einstein/genai/guide/get-started-agents.html,https://developer.salesforce.com/docs/einstein/genai/guide/get-started-agents.html,developer.salesforce.com,body,Agentforce|Agent API|Earnings|Partnership|GenAI|Platform|AI,"cio,vp_sales_ops",en,711,844,2025-09-08T00:13:16.413651+00:00,dfa6da8070bd10eeece54eecc0f09a63ec2ca0803a81307d308d900f8878591b
crm::dev_docs::unknown::get-started-with-the-agent-api::202f14da,Salesforce,dev_docs,Get Started | Agentforce Agents | Agentforce Developer Guide | Salesforce Developers,2025-09-07,https://developer.salesforce.com/docs/einstein/genai/guide/agent-api-get-started.html,https://developer.salesforce.com/docs/einstein/genai/guide/agent-api-get-started.html,developer.salesforce.com,body,Agentforce|Agent API|Data Cloud|Earnings|GenAI|Platform|AI,cio,en,1143,1396,2025-09-08T00:13:16.454556+00:00,fe4e9c8bc1f0ade4c168742b6b013f5226339efac448c27465c354902a25647d
crm::help_docs::unknown::salesforce-help::d75a8e9c,Salesforce,help_docs,Salesforce Help,2025-09-07,,,help.salesforce.com,body,,,en,12,17,2025-09-08T00:13:16.476542+00:00,9a7f95644df1ac5e2a98dbd54ae928af3036fa1c5bd65355bd9140d5aee090c6
