crm::10-K::2025-03-05::fy25-form-10-k::4c26cea2,10-K,chunks=129,expected=129,adj_jaccard_median=NA,boundary_alignment=NA
crm::10-Q::2025-04-30::fy26-q1-form-10-q::e16f2866,10-Q,chunks=88,expected=89,adj_jaccard_median=NA,boundary_alignment=NA
crm::8-K::2025-05-28::q1-fy26-results-8-k::35792ff4,8-K,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::8-K::2025-06-05::proxy-meeting-results-2025-06-05::47c09586,8-K,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::ars_pdf::unknown::fy25-annual-report-pdf::1b31e86f,ars_pdf,chunks=1045,expected=1046,adj_jaccard_median=NA,boundary_alignment=NA
crm::dev_docs::unknown::agent-api-developer-guide::6f4b900c,dev_docs,chunks=1,expected=1,adj_jaccard_median=NA,boundary_alignment=NA
crm::dev_docs::unknown::agent-api-examples::62fd6b36,dev_docs,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::dev_docs::unknown::get-started-with-agentforce-agents::5ac08bad,dev_docs,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::dev_docs::unknown::get-started-with-the-agent-api::202f14da,dev_docs,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::help_docs::unknown::salesforce-help::d75a8e9c,help_docs,chunks=1,expected=1,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-08-04::salesforce-launches-byom-to-make-it-easy-for-businesses-to-use-proprietary-data-::61063b9d,press,chunks=3,expected=4,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-08-09::new-slack-user-experience-designed-for-focus-and-productivity::100cc924,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-08-16::chief-scientist-for-salesforce-ai-offers-a-glimpse-into-the-future-of-generative::5e9a5da9,press,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-08-18::1-in-6-shoppers-have-used-generative-ai-for-purchase-inspiration-salesforce-repo::d8efeaa7,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-08-24::new-salesforce-field-service-innovations-bring-the-power-of-ai-to-the-mobile-wor::c7fe8ab5,press,chunks=2,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-08-28::businesses-adopting-ai-risk-a-039-trust-gap-039-with-customers-salesforce-report::76fed41b,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-08-31::penfed-deploys-self-service-tools-boosts-productivity-with-salesforce-einstein::4610a975,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-09-06::introducing-slack-ai-slack-lists-and-new-automation-capabilities-that-boost-prod::81c5dd37,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-09-07::new-ai-usage-data-shows-who-s-using-ai-and-uncovers-a-population-of-super-users::2f093480,press,chunks=2,expected=2,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2023-09-11::new-study-finds-salesforce-economy-powered-by-ai-will-create-a-net-gain-of-11-6m::7f3f5e4c,press,chunks=3,expected=3,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-01-31::news-details::9a8b3ba9,press,chunks=16,expected=16,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-04-25::news-details::65e3c0b7,press,chunks=4,expected=5,adj_jaccard_median=NA,boundary_alignment=NA
crm::press::2024-04-30::news-details::05db958d,press,chunks=12,expected=12,adj_jaccard_median=NA,boundary_alignment=NA
